
p is initialized as 0.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
 52   1.87342918   1.83929253   -0.39462376   0.03413665
 53   1.83929253   1.87073421    0.37679100   0.03144169
 54   1.87073421   1.84173310   -0.33619881   0.02900112
 55   1.84173310   1.86844766    0.31930923   0.02671456
 56   1.86844766   1.84380937   -0.28630543   0.02463830
 57   1.84380937   1.86650717    0.27069664   0.02269781
 58   1.86650717   1.84557533   -0.24372959   0.02093184
 59   1.84557533   1.86486042    0.22956657   0.01928508
 60   1.86486042   1.84707701   -0.20742416   0.01778340
 61   1.84707701   1.86346233    0.19473648   0.01638532
 62   1.86346233   1.84835386   -0.17648125   0.01510847
 63   1.84835386   1.86227536    0.16523170   0.01392150
 64   1.86227536   1.84943938   -0.15012455   0.01283598
 65   1.84943938   1.86126757    0.14022446   0.01182818
 66   1.86126757   1.85036218   -0.12767982   0.01090539
 67   1.85036218   1.86041176    0.11902142   0.01004958
 68   1.86041176   1.85114658   -0.10857391   0.00926518
 69   1.85114658   1.85968494    0.10103989   0.00853837
 70   1.85968494   1.85181332   -0.09231472   0.00787163
 71   1.85181332   1.85906768    0.08578491   0.00725436
 72   1.85906768   1.85238004   -0.07847881   0.00668764
 73   1.85238004   1.85854328    0.07283783   0.00616324
 74   1.85854328   1.85286164   -0.06671238   0.00568163
 75   1.85286164   1.85809791    0.06184959   0.00523627
 76   1.85809791   1.85327101   -0.05670166   0.00482690
 77   1.85327101   1.85771966    0.05252552   0.00444865
 78   1.85771966   1.85361862   -0.04819679   0.00410104
 79   1.85361862   1.85739851    0.04461288   0.00377989
 80   1.85739851   1.85391414   -0.04096127   0.00348437
 81   1.85391414   1.85712564    0.03789425   0.00321150
 82   1.85712564   1.85416520   -0.03481102   0.00296044
 83   1.85416520   1.85689378    0.03218651   0.00272858
 84   1.85689378   1.85437846   -0.02958679   0.00251532
 85   1.85437846   1.85669696    0.02734280   0.00231850
 86   1.85669696   1.85455978   -0.02514172   0.00213718
 87   1.85455978   1.85652959    0.02322674   0.00196981
 88   1.85652959   1.85471392   -0.02136230   0.00181568
 89   1.85471392   1.85638738    0.01972866   0.00167346
 90   1.85638738   1.85484481   -0.01815414   0.00154257
 91   1.85484481   1.85626674    0.01676178   0.00142193
